time	RB	Up	A	LS Y
0.926801	0	0	0	0.0
0.927364	0	0	1	0.0
0.927822	0	0	1	0.0
1.248505	0	0	1	0.0
1.24902	0	0	0	0.0
1.249467	0	0	0	0.0
2.32226	0	0	0	0.0
2.322871	0	0	1	0.0
2.32338	0	0	1	0.0
2.801141	0	1	1	0.0
2.801681	0	1	1	0.0
3.0537	0	0	1	0.0
3.054245	0	0	1	0.0
4.546815	0	0	1	0.0
4.547348	0	0	1	0.0
4.837187	0	0	1	0.0
4.837728	0	0	1	0.0
5.752301	0	0	1	0.0
5.75285	0	0	1	0.0
6.053836	0	0	1	0.0
6.054369	0	0	1	0.0
6.672142	0	1	1	0.0
6.672695	0	1	1	0.0
6.815118	0	0	1	0.0
6.815633	0	0	1	0.0
7.358539	0	1	1	0.0
7.359072	0	1	1	0.0
8.103577	0	0	1	0.0
8.104087	0	0	1	0.0
8.793741	0	1	1	0.0
8.794283	0	1	1	0.0
9.671037	0	0	1	0.0
9.671597	0	0	1	0.0
10.106188	0	0	1	0.0
10.106785	1	0	1	0.0
10.107273	1	0	1	0.0
10.476307	1	1	1	0.0
10.476806	1	1	1	0.0
10.696675	1	0	1	0.0
10.697208	1	0	1	0.0
11.553963	1	0	1	0.0
11.554526	1	0	1	0.0
12.009967	1	0	1	0.0
12.010585	1	0	1	0.0
12.24506	1	0	1	0.0
12.245619	0	0	1	0.0
12.246136	0	0	1	0.0
12.437621	0	0	1	0.0
12.438149	0	0	1	0.0
12.444715	0	0	1	0.0
12.445233	0	0	1	0.0
12.469773	0	0	1	0.0
12.470262	0	0	1	0.0
12.47361	0	0	1	0.0
12.474141	0	0	1	0.0
12.697644	0	0	1	0.0
12.698174	0	0	1	0.0
13.116062	0	0	1	0.0
13.116559	0	0	1	0.0
13.399011	0	1	1	0.0
13.399529	0	1	1	0.0
14.136292	0	0	1	0.0
14.136795	0	0	1	0.0
14.986565	0	0	1	0.0
14.987124	0	0	1	0.0
14.987617	0	0	1	0.0
